city,sub_area,address_en,country,shop_id,shop_name_en,extras,tel,url_param,link_url,hours,services,latitude,longitude
Tokyo,Harajuku,"1F/2F, 3-24-7 Jingumae, Shibuya-ku, Tokyo",Japan,1,BEAMS HARAJUKU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': ""BEAMS HARAJUKU, the original BEAMS shop, has been the flagship shop for men's fashion and lifestyles since 1976."", 'lat_lon_source': 'thirdparty'}",03 3470 3947,h,/global/shop/h/,"12:00 - 20:00 (Mon〜Fri) / 11:00 - 20:00(Sat, Sun, Holiday)","Tax-freeShop, UnionPay, ALIPAY",35.67123,139.707668
Rest of Asia,Bangkok,"2F Paragon Department Store, 991/1 Rama I Rd., Pathumwan, Pathumwan Bangkok 10330, Thailand",Japan,159,BEAMS BANGKOK PARAGON,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': ""BEAMS BANGKOK PARAGON is a concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, accessories and other merchandise."", 'lat_lon_source': 'thirdparty'}",+662 610 7752,bangkok_paragon,/global/shop/bangkok_paragon/,10:00 - 22:00,,13.747908,100.534962
Rest of Asia,Bangkok,"MA-01 MF EM Galleria Floor, The Emsphere Shopping Complex, Bangkok, Thailand",Japan,157,BEAMS BANGKOK,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': ""With a focus on 6 levels of original products characteristic of BEAMS, we have selected a range of men's and women's casual wear and accessories. BEAMS will continue to spread its belief in enjoying fashion and having a fulfilling life in the new lifestyles of the region."", 'lat_lon_source': 'thirdparty'}",+662 129 6053,bangkok,/global/shop/bangkok/,10:00 - 22:00,,13.73234,100.56680
Rest of Asia,Taiwan,"3F, No. 268, Sec. 3, Zhongxiao E. Rd., Da’an Dist., Taipei City",Japan,241,BEAMS SHIN KONG MITSUKOSHI DIAMOND TOWERS,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': ""BEAMS introduce a formal wear concept store in Taiwan for the first time, offering a range of contemporary and elegant sub-brands, including ＜BEAMS F＞, ＜Brilla per il gusto＞ ＜International Gallery BEAMS＞＜Demi-Luxe BEAMS＞ and ＜AK+1＞These sub-brands provide a fresh and diverse selection of men's and women's clothing styles."", 'lat_lon_source': 'thirdparty'}",02 2778 2232,diamond_towers,/global/shop/diamond_towers/,11:00 - 21:30（⽇ - 木）／ 11:00 - 22:00（金 - ⼟・祝祭⽇前⽇）,,25.04148853041179,121.54212837089123
Rest of Asia,Taiwan,"Taichung City, East District, Jinde Rd, 600號2樓",Japan,237,BEAMS LaLaport Taichung,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': 'The design concept is inspired by European marketplaces. The surrounding red brick represents pedestrian walkways, and the diverse range of products are showcased in the central cement area which radiates outward from the the Lush tree at the heart of it all. From Childrenswear, outdoor gears to lifestyle essentials and pet supplies, our store offers a wide variety of products to cater to different lifestyles.', 'lat_lon_source': 'thirdparty'}",+886 4 2215 3029,lalaport_taichung,/global/shop/lalaport_taichung/,11:00 - 22:00,,24.135713,120.692561
Rest of Asia,Taiwan,"Taipei City, Zhongshan District, Nanjing W Rd, 14號, Eslite Spectrum Nanxi, 1樓",Japan,236,BEAMS Eslite Spectrum Nanxi,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': 'Providing original products for both Menswear and Womenswear, as well as a selections of fashion, accessories, and lifestyle goods sourced from Japan and overseas. Embodying the fashion trends from Tokyo and ""HAPPY"" lifestyle proposed by BEAMS.', 'lat_lon_source': 'thirdparty'}",+886 2 2723 2818,eslite_spectrum_nanxi,/global/shop/eslite_spectrum_nanxi/,11:00 - 22:00,,25.052137,121.520671
Rest of Asia,Taiwan,"No. 168, Section 10, Taiwan Blvd, Wuqi District, Taichung City",Japan,221,BEAMS OUTLET TAICHUNG,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",+886 4 2656 4138,outlet_taichung,/global/shop/outlet_taichung/,"11:00 - 21:30（Sun - Fri）／10:30 - 21:30（Sat, Sun, Public Holidays）",,24.2593129,120.51867559
Rest of Asia,Taiwan,"No. 301, Section 3, Taiwan Blvd, Xitun District, Taichung City",Japan,220,BEAMS TAICHUNG MITSUKOSHI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': ""A concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, children's apparel, accessories, art and other merchandise."", 'lat_lon_source': 'thirdparty'}",+886 4 2251 6010,taichung,/global/shop/taichung/,"11:00 - 22:00（Sun - Fri）／ 10:30 - 22:00（Sat, Sun, Public Holidays）",,24.16526,120.64371
Rest of Asia,Taiwan,"3F, No. 17, Songzhi Rd., Xinyi Dist., Taipei City 110, Taiwan",Japan,187,BEAMS Breeze NAN SHAN,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': 'On the 3rd floor of ""Breeze NanShan Atre"" inside the ""Breeze NanShan"" complex. The line-up includes casual original items for men and women, clothing and accessories selected from inside and outside of Japan, and household goods. We provide fashion from Tokyo and a happy lifestyle as imagined by BEAMS.', 'lat_lon_source': 'thirdparty'}",+886 2 2723 6584,breeze_man_shan_atre,/global/shop/breeze_man_shan_atre/,"11:00 - 22:00 (Thu - Sat,Before holidays), 11:00 - 21:30（Sun - Wed）",,25.034484,121.566862
Rest of Asia,Taiwan,"No. 356, Section 1, Wenhua 3rd Rd, Linkou District, New Taipei City, Taiwan",Japan,155,BEAMS OUTLET LINKOU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250301', 'description_en': 'We are located in the row of Japanese specialty boutiques on the first floor of ""Mitsui Outlet Park Taiwan Linkou,"" the biggest outlet mall in northern Taiwan. In addition to our lineup of  casual men\'s and women\'s clothing, we handle accessories, kids\' items, business wear, and many other items.', 'lat_lon_source': 'thirdparty'}",+886 2 2600 3783,outlet_linkou,/global/shop/outlet_linkou/,11:00 - 21:30（Sunday-Thursday）／11:00 - 22:00（Friday～Saturday）,,25.070083,121.365562
